"measuredItemCPC","measuredItemCPC_description","geographicAreaM49","geographicAreaM49_description","timePointYears","timePointYears_description","Value"
"01329","Other citrus fruit, n.e.","4","Afghanistan","2020","2020",1571.2848902
"01330","Grapes","380","Italy","2015","2015",6781428.04183757
"01330","Grapes","4","Afghanistan","2015","2015",689770.349758112
"01330","Grapes","380","Italy","2016","2016",7027243.63593064
"01330","Grapes","4","Afghanistan","2016","2016",749290.065295786
"01330","Grapes","380","Italy","2017","2017",6142900.90367877
"01330","Grapes","4","Afghanistan","2017","2017",791520.798124126
"01330","Grapes","380","Italy","2018","2018",7294324.53310344
"01330","Grapes","4","Afghanistan","2018","2018",843141.850120626
"01330","Grapes","380","Italy","2019","2019",6768672.28711352
"01330","Grapes","4","Afghanistan","2019","2019",953534.647888942
"01330","Grapes","380","Italy","2020","2020",7044761.37915256
"01330","Grapes","4","Afghanistan","2020","2020",851110.769699372
"01341","Apples","380","Italy","2015","2015",1167546.64683427
"01341","Apples","4","Afghanistan","2015","2015",42354.109163772
"01341","Apples","380","Italy","2016","2016",1159054.39613414
"01341","Apples","4","Afghanistan","2016","2016",66506.425100052
"01341","Apples","380","Italy","2017","2017",906843.235167648
"01341","Apples","4","Afghanistan","2017","2017",80449.348937412
"01341","Apples","380","Italy","2018","2018",1164422.94101316
"01341","Apples","4","Afghanistan","2018","2018",102514.946312928
"01341","Apples","380","Italy","2019","2019",1087345.09867596
"01341","Apples","4","Afghanistan","2019","2019",118153.299480816
"01341","Apples","380","Italy","2020","2020",1162275.33426096
"01341","Apples","4","Afghanistan","2020","2020",127844.905951788
"01342.01","Pears","380","Italy","2015","2015",328200.159086683
"01342.01","Pears","4","Afghanistan","2015","2015",2202.612565842
"01342.01","Pears","380","Italy","2016","2016",305669.322482472
"01342.01","Pears","4","Afghanistan","2016","2016",2275.771702074
"01342.01","Pears","380","Italy","2017","2017",336435.352094322
"01342.01","Pears","4","Afghanistan","2017","2017",3528.621910047
"01342.01","Pears","380","Italy","2018","2018",327731.15676691
"01342.01","Pears","4","Afghanistan","2018","2018",3694.971850765
